Week_Ending,New_Licenses,Sales_Volume_USD,Recurring_Revenue_USD,Operating_Expenses_USD,Marketing_Spend_USD,R&D_Spend_USD,Customer_Renewal_Rate,Gross_Margin_Percentage
2024-08-16,107,259010,181307,155406,38851,64752,0.90,40.0
2024-08-23,119,305148,213603,183088,45772,76287,0.93,40.0
2024-08-30,104,359453,251617,215671,53917,89863,0.90,40.0
2024-09-06,109,278631,195041,167178,41794,69657,0.89,40.0
2024-09-13,99,302897,212027,181738,45434,75724,0.90,40.0
2024-09-20,120,369753,258827,221851,55462,92438,0.90,40.0
2024-09-27,127,374381,262066,224628,56157,93595,0.89,40.0
2024-10-04,108,348303,243812,208981,52245,87075,0.93,40.0
2024-10-11,107,393295,275306,235977,58994,98323,0.91,40.0
2024-10-18,110,404858,283400,242914,60728,101214,0.93,40.0
2024-10-25,112,325280,227696,195168,48792,81320,0.94,40.0
2024-11-01,113,338049,236634,202829,50707,84512,0.91,40.0
2024-11-09,123,397169,278018,238301,59575,99292,0.85,40.0
2024-11-16,118,337760,236431,202656,50664,84440,0.88,40.0
2024-11-23,142,339263,237484,203557,50889,84815,0.89,40.0
2024-11-30,107,329294,230505,197576,49394,82323,0.89,40.0
2024-12-07,128,395866,277106,237519,59379,98966,0.89,40.0
2024-12-14,136,341932,239352,205159,51289,85483,0.90,40.0
2024-12-21,127,310331,217231,186198,46549,77582,0.93,40.0
2024-12-28,103,384918,269442,230950,57737,96229,0.94,40.0
2025-01-04,100,348557,243989,209134,52283,87139,0.86,40.0
2025-01-11,126,408002,285601,244801,61200,102000,0.94,40.0
2025-01-18,131,307723,215406,184633,46158,76930,0.95,40.0
2025-01-25,99,287045,200931,172227,43056,71761,0.93,40.0
2025-02-01,102,326724,228706,196034,49008,81681,0.89,40.0
2025-02-08,120,380126,266088,228075,57018,95031,0.85,40.0
2025-02-15,94,308781,216146,185268,46317,77195,0.87,40.0
